team,games,total_points,points_per_game,points_allowed_per_game,point_differential,is_sb_team
LA,17,518,30.470588235294116,20.352941176470587,10.117647058823529,FALSE
NE,17,490,28.823529411764707,18.823529411764707,10,TRUE
SEA,17,483,28.41176470588235,17.176470588235293,11.235294117647058,TRUE
BUF,17,481,28.294117647058822,21.470588235294116,6.8235294117647065,FALSE
DET,17,481,28.294117647058822,24.294117647058822,4,FALSE
JAX,17,474,27.88235294117647,19.764705882352942,8.117647058823529,FALSE
DAL,17,471,27.705882352941178,30.058823529411764,-2.352941176470587,FALSE
IND,17,466,27.41176470588235,24.235294117647058,3.1764705882352935,FALSE
CHI,17,441,25.941176470588236,24.41176470588235,1.529411764705884,FALSE
SF,17,437,25.705882352941178,21.823529411764707,3.882352941176471,FALSE
BAL,17,424,24.941176470588236,23.41176470588235,1.529411764705884,FALSE
CIN,17,414,24.352941176470587,28.941176470588236,-4.5882352941176485,FALSE
HOU,17,404,23.764705882352942,17.352941176470587,6.411764705882355,FALSE
DEN,17,401,23.58823529411765,18.294117647058822,5.294117647058826,FALSE
PIT,17,397,23.352941176470587,22.764705882352942,0.588235294117645,FALSE
GB,17,391,23,21.176470588235293,1.8235294117647065,FALSE
NYG,17,381,22.41176470588235,25.823529411764707,-3.411764705882355,FALSE
TB,17,380,22.352941176470587,24.176470588235293,-1.8235294117647065,FALSE
PHI,17,379,22.294117647058822,19.11764705882353,3.1764705882352935,FALSE
LAC,17,368,21.647058823529413,20,1.647058823529413,FALSE
KC,17,362,21.294117647058822,19.294117647058822,2,FALSE
WAS,17,356,20.941176470588236,26.529411764705884,-5.5882352941176485,FALSE
ARI,17,355,20.88235294117647,28.705882352941178,-7.8235294117647065,FALSE
ATL,17,353,20.764705882352942,23.58823529411765,-2.8235294117647065,FALSE
MIA,17,347,20.41176470588235,24.941176470588236,-4.529411764705884,FALSE
MIN,17,344,20.235294117647058,19.58823529411765,0.6470588235294095,FALSE
CAR,17,311,18.294117647058822,22.352941176470587,-4.0588235294117645,FALSE
NO,17,306,18,22.529411764705884,-4.529411764705884,FALSE
NYJ,17,300,17.647058823529413,29.58823529411765,-11.941176470588236,FALSE
TEN,17,284,16.705882352941178,28.11764705882353,-11.411764705882351,FALSE
CLE,17,279,16.41176470588235,22.294117647058822,-5.882352941176471,FALSE
LV,17,241,14.176470588235293,25.41176470588235,-11.235294117647058,FALSE
